Compound,Date,Negative,Neutral,News Organization,Positive,Tweet Text,Tweets Ago
0.0,2018-06-10 00:29:59+00:00,0.0,1.0,BBCWorld,0.0,Donating money to homeless people using your phone https://t.co/IVR4az9VH7,1
0.0,2018-06-10 00:29:59+00:00,0.0,1.0,BBCWorld,0.0,The Belgian students revising with monks at a monastery https://t.co/DgQqx4kblg,2
-0.3182,2018-06-10 00:25:18+00:00,0.187,0.813,BBCWorld,0.0,The other Balochistan: Six stories of life in a conflict zone https://t.co/z1VypEcqAD,3
-0.4404,2018-06-10 00:16:02+00:00,0.367,0.633,BBCWorld,0.0,Long watch: Russia's dirty secret https://t.co/NvTiqgmgCv,4
0.0,2018-06-09 22:40:30+00:00,0.0,1.0,BBCWorld,0.0,G7 summit: $3bn pledge for girls' education https://t.co/lzB0N8d2dG,5
0.3309,2018-06-09 22:10:00+00:00,0.0,0.728,BBCWorld,0.272,G7 commits to 'rules-based trading system' despite tensions with US https://t.co/lF9GGvnUlW,6
-0.5106,2018-06-09 19:39:30+00:00,0.32,0.68,BBCWorld,0.0,UN condemns Central African Republic hospital raids https://t.co/93Wa37cReV,7
0.5423,2018-06-09 19:14:02+00:00,0.0,0.741,BBCWorld,0.259,Trump: Kim has one shot at peace at Singapore summit https://t.co/BA8DNNKFPu,8
-0.6486,2018-06-09 17:20:32+00:00,0.431,0.569,BBCWorld,0.0,Disruptive passenger on Jet2 flight banned for life https://t.co/Y0tzheYt6b,9
0.0258,2018-06-09 16:16:27+00:00,0.111,0.773,BBCWorld,0.116,Inside Afghanistan's only secure psychiatric unit.  The BBC investigates the lasting effects of conflict in the cou… https://t.co/pUmnntT4C7,10
0.3612,2018-06-09 15:54:18+00:00,0.0,0.857,BBCWorld,0.143,"Russian workers being taught how to smile more ahead of the World Cup 
☺️☺️
https://t.co/WBNlLAf9Nt https://t.co/uyLxrpKct6",11
-0.8225,2018-06-09 15:18:41+00:00,0.458,0.542,BBCWorld,0.0,Iraq arrests asylum seeker wanted in Germany for Wiesbaden murder https://t.co/mRHxslzEMD,12
0.0,2018-06-09 15:18:41+00:00,0.0,1.0,BBCWorld,0.0,French Open 2018: Simona Halep beats Sloane Stephens in final https://t.co/HdiRgt3kuq,13
0.5719,2018-06-09 15:11:50+00:00,0.0,0.821,BBCWorld,0.179,"RT @BBCNews: Trooping the Colour: Four things about the event that celebrates the Queen's official birthday
👑
https://t.co/YHGc0NYNxv https…",14
0.5423,2018-06-09 14:45:18+00:00,0.0,0.851,BBCWorld,0.149,"US President @realDonaldTrump says he is ""on a mission of peace"" when he travels to Singapore to meet Kim Jong-un f… https://t.co/LyCpbbjImh",15
0.5859,2018-06-09 14:30:38+00:00,0.0,0.78,BBCWorld,0.22,"""The United States has been taken advantage of for decades.. and we can't do that anymore""- US President… https://t.co/iiAxrXtx8U",16
